name,1.5version,1.4version,URL,license,Delta Information,repo_name,PCF1.5_github_url,PCF1.4_url
thin,1.6.0,1.6.0,https://github.com/macournoyer/thin,Ruby License,No change,cf-release,,
yajl-ruby,1.2.1,1.2.1,https://github.com/brianmario/yajl-ruby,MIT,No change,cf-release,,
thin,1.6.2,1.6.2,https://github.com/macournoyer/thin,Ruby License,No change,cf-release,,
json_pure,1.8.1,1.8.1,https://github.com/flori/json,Ruby License,No change,cf-release,,
rack,1.5.2,1.5.2,https://github.com/rack/rack,MIT,No change,cf-release,,
json_pure,1.8.1,1.8.1,https://github.com/flori/json,Ruby License,No change,cf-release,,
eventmachine,1.0.0,1.0.0,https://github.com/eventmachine/eventmachine,Ruby License,No change,cf-release,,
daemons,1.0.9,1.0.9,https://github.com/ghazel/daemons,MIT,No change,cf-release,,
eventmachine,1.0.3,1.0.3,https://github.com/eventmachine/eventmachine,Ruby License,No change,cf-release,,
eventmachine,1.0.3,1.0.3,https://github.com/eventmachine/eventmachine,Ruby License,No change,cf-release,,
rack,1.0.0,1.0.0,https://github.com/rack/rack,MIT,No change,cf-release,,
daemons,1.1.9,1.1.9,https://github.com/ghazel/daemons,MIT,No change,cf-release,,
daemons,1.1.9,1.1.9,https://github.com/ghazel/daemons,MIT,No change,cf-release,,
nats,0.5.0.beta.14,0.5.0.beta.14,https://github.com/derekcollison/ruby-nats,MIT,No change,cf-release,,
